Test Step,min,max,avg,last,cnt,tps,bytes,bps,err,rat
Peticion,12,464,52.74,15,2768,93.81,77301936,2619871,55,1
TestCase:,12,464,52.74,15,2768,93.81,77301936,2619871,55,1
